37,"Outside of washing the windows, what else did you do?",ACTIVITIES ARE BOUNDED REGIONS IN SPACE
38,I put a lot of energy into washing the windows.,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
39,I get a lot of satisfaction out of washing windows.,ACTIVITIES ARE BOUNDED REGIONS IN SPACE
40,Do it over.,ACTIVITIES ARE JOURNEYS
41,"In the course of the investigation, new evidence was found.",ACTIVITIES ARE JOURNEYS
42,Follow along as I assemble this.,ACTIVITIES ARE JOURNEYS
43,Follow these steps in assembly.,ACTIVITIES ARE JOURNEYS
44,"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.",ADDRESSING CRIME IS CONTROLLING AN ANIMAL
45,Improving access to education is the only sure way to cure us of poverty.,ADDRESSING POVERTY IS TREATING AN ILLNESS
46,Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy,ADDRESSING SOCIAL PROBLEMS IS TREATING AN ILLNESS
47,"The most powerful weapon in the war against obesity might be something we all understand: cold, hard cash.",ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
48,How America's losing the war on poverty,ADDRESSING SOCIAL PROBLEMS IS WAGING WAR
49,"Of course, gun control fanatics pay little attention to facts.",ADVOCATING GUN CONTROL IS ZEALOTRY
50,She's warming up to her new brother-in-law.,AFFECTION IS WARMTH
51,We're finally on the same page.,AGREEMENT IS PHYSICAL PROXIMITY
52,Who's with me?,AGREEMENT IS PHYSICAL PROXIMITY
53,Ecologists Shed New Light On Effects of Light Pollution On Wildlife,AID TO KNOWING IS A LIGHT SOURCE
54,There seems to be growing friendship between Shia Iran and its Sunni-dominated neighbours.,ALLIANCES ARE FRIENDSHIPS
55,"Fitch said in a report on Dec. 19 that it expected Congress to find a way to pull back from the “fiscal cliff,” but that it would not be “a credible plan to reduce the federal budget deficit and stabilize government debt over the medium term.”",ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH
56,He started going down a bad life path.,ALTERNATIVES ARE DIFFERENT AVAILABLE PATHS
57,We have not found a way to stem this rising flood of gun violence.,AMOUNT OF GUN VIOLENCE IS A FLUID
58,We are drowning in an ocean of gun violence.,AMOUNT OF GUN VIOLENCE IS A FLUID
59,flood of guns,AMOUNT OF GUNS IS A FLUID
60,WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR,AMOUNT OF POVERTY IS SIZE OF GEOGRAPHIC FEATURE
61,"President Obama said the international community has made great strides toward locking down loose nuclear material, but warned the threat of nuclear materials falling into the hands of terrorist remains.",AMOUNT OF PROGRESS IS AMOUNT OF DISTANCE MOVED
62,"Senate Majority Leader Harry Reid, D-Nevada, told reporters that the next 24 hours would be ""very important"" toward efforts to reach a deal to lessen the harshest impacts of the fiscal cliff, a combination of broad tax hikes and deep spending cuts due to take effect at the start of the new year.",AMOUNT OF PROGRESS TOWARD ENACTING LEGISLATION IS DISTANCE MOVED ALONG A PATH
63,"The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before.",ANALYZING IS DISSECTING
64,Those are inflammatory remarks.,ANGER IS FIRE
65,She was doing a slow burn.,ANGER IS FIRE
66,She was breathing fire.,ANGER IS FIRE
67,Your insincere apology just added fuel to the fire.,ANGER IS FIRE
68,"After the argument, Dave was smoldering for days.",ANGER IS FIRE
69,He was consumed by his anger.,ANGER IS FIRE
70,He's seeing red.,ANGER IS FIRE
71,He has a hot temper.,ANGER IS HEAT
72,He's burning with rage.,ANGER IS HEAT
73,"I just touched him, and he went crazy.",ANGER IS INSANITY
74,You're driving me nuts!,ANGER IS INSANITY
75,I'm mad!,ANGER IS INSANITY
76,"When the up threw him out of the game, Billy started foaming at the mouth.",ANGER IS INSANITY
77,"If anything else goes wrong, I'll get hysterical.",ANGER IS INSANITY
78,"He got so angry, he went out of his mind.",ANGER IS INSANITY
79,"When my mother finds out, she'll have a fit.",ANGER IS INSANITY
80,He's tearing his hair out!,ANGER IS INSANITY
81,The loud music next door has got him climbing the walls!,ANGER IS INSANITY
82,He was just about to burst with anger.,ANGER IS PRESSURE IN A CONTAINER
83,You make my blood boil.,ANGER IS THE HEAT OF FLUID IN A CONTAINER
84,I had reached the boiling point.,ANGER IS THE HEAT OF FLUID IN A CONTAINER
85,Your claims are indefensible.,ARGUMENT IS PHYSICAL COMBAT
86,He attacked every weak point in my argument.,ARGUMENT IS PHYSICAL COMBAT
87,His criticisms were right on target.,ARGUMENT IS PHYSICAL COMBAT
88,I blew his argument out of the water.,ARGUMENT IS PHYSICAL COMBAT
89,I've never won an argument with him.,ARGUMENT IS PHYSICAL COMBAT
90,"You disagree? OK, shoot!",ARGUMENT IS PHYSICAL COMBAT
91,"If you use that strategy, he'll wipe you out.",ARGUMENT IS PHYSICAL COMBAT
92,He shot down all of my arguments.,ARGUMENT IS PHYSICAL COMBAT
93,He bombarded them with clever arguments.,ARGUMENT IS WAR
94,His criticisms were right on target.,ARGUMENT IS WAR
95,Five is made up of two plus three.,ARITHMETIC IS OBJECT CONSTRUCTION
96,"If you put 2 and 2 together, you get 4.",ARITHMETIC IS OBJECT CONSTRUCTION
97,We need to know how big of a problem that is.,ASSESSING IS MEASURING
98,Our conservation program needs your support.,ASSISTANCE IS SUPPORT
99,I've really been leaning on my friends the past few months.,ASSISTANCE IS SUPPORT
100,"You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on.",ATTAINING CONTROL IS GAINING A POSSESSION
101,"The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party",ATTAINING CONTROL IS GAINING A POSSESSION
102,"If you soak it in water, the wood will lose its rigidity.",ATTRIBUTES ARE ENTITIES
103,She has a sunny disposition.,ATTRIBUTES ARE POSSESSIONS
104,This place has lost a lot of its charm.,ATTRIBUTES ARE POSSESSIONS
105,The new mustache gave him an older appearance.,ATTRIBUTES ARE POSSESSIONS
106,"In a democratic government, authority is given to it by the people.",ATTRIBUTES OF GOVERNMENT ARE ENTITIES
107,This movie stinks!,BAD IS STINKY
108,He's no longer with us.,BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
109,He's gone / departed.,BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
110,He is an upstanding citizen.,BEING GOOD IS BEING UPRIGHT
111,I refuse to stoop to that kind of behavior.,BEING IMMORAL IS BEING LOW
112,The prescribing physician is in the best position to evaluate a patient's treatment history and options.,BEING POISED TO KNOW IS BEING POSITIONED TO SEE WELL
113,Hold on to your beliefs and never let them go.,BELIEFS ARE POSSESSIONS
114,He was filled with anger.,BODY IS A CONTAINER FOR EMOTIONS
115,She couldn't contain her joy.,BODY IS A CONTAINER FOR EMOTIONS
116,She was brimming with rage.,BODY IS A CONTAINER FOR EMOTIONS
117,Lost in the bureaucratic maze of city's criminal justice system,BUREACRACY IS A MAZE
118,The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.,BUREACRACY IS AN OCTOPUS
119,"Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form.",BUREAUCRACY IS A MACHINE
120,"You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.",BUREAUCRATS ARE MACHINE PARTS
121,It's Now Apple And Samsung's Game To Lose--Everyone Else Is An Also-Ran,BUSINESS COMPETITION IS COMPETITIVE SPORTS
122,Here are some tips to grow your business.,BUSINESSES ARE LIVING ENTITIES
123,Stars whose careers collapsed in a relatively short amount of time,CAREER IS A BUILDING
124,How to make a career out of things you would do even for free.,CAREER IS A COMPLEX STRUCTURE
125,Tomatoes technically fall within the fruit category.,CATEGORIES ARE BOUNDED REGIONS
126,"I wouldn't put him in the friend category, exactly.",CATEGORIES ARE BOUNDED REGIONS
127,The noise is giving me a headache.,CAUSATION IS OBJECT TRANSFER
128,She was forced into an arranged marriage.,CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION
129,Her parents kept pushing her until she succeeded.,CAUSED CHANGE OF STATE IS CAUSED CHANGE OF LOCATION
130,Regulations keep me from moving ahead with this housing project.,CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
131,Sudden illness stopped his progress.,CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
132,He's really gotten hung up at that step in the process.,CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
133,He is so caught up in his work he can't do anything else.,CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
134,He was held up in the meeting.,CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
135,The trial thrust O.J.'s attorney's into the limelight.,CAUSES ARE FORCES
136,FDR's leadership brought the country out of the depression.,CAUSES ARE FORCES
137,That experience pushed him over the edge,CAUSES ARE FORCES
138,Thriving community centers have proven to be an effective treatment against violent crime in a number of neighborhoods.,CAUSING DECREASE IN CRIME IS TREATING DISEASE
139,Another round of cuts will cripple the economy.,CAUSING ECONOMIC HARDSHIP IS CAUSING PHYSICAL HARM
140,"... allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly.",CENSORSHIP IS PHYSICAL RESTRAINING OF MOUTH
141,The government should not muzzle the press.,CENSORSHIP IS PHYSICAL RESTRAINING OF MOUTH
142,The plans for the trip have finally been firmed up.,CERTAIN IS FIRM
143,Next year's budget is fairly solid at this point.,CERTAIN IS FIRM
144,The US handed over control of the prisoners to Afghan authorities.,CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION
145,The Democrats wrested control of four governerships from the Republicans,CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION
146,The government acquired control of the company's assets.,CHANGE IN CONTROLLER IS TRANSFER OF POSSESSION
147,I got a headache.,CHANGE IS ACQUISITION
148,My headache went away.,CHANGE IS LOSS
149,He lost his faith.,CHANGE IS LOSS
150,He got rid of his headache.,CHANGE IS LOSS
151,He went crazy.,CHANGE OF STATE IS CHANGE OF LOCATION
152,He fell into a depression.,CHANGE OF STATE IS CHANGE OF LOCATION
153,I came out of my depression.,CHANGE OF STATE IS CHANGE OF LOCATION
154,He went over the edge.,CHANGE OF STATE IS CHANGE OF LOCATION
155,Things have gone from bad to worse lately.,CHANGE OF STATE IS CHANGE OF LOCATION
156,I got a headache.,CHANGE OF STATE IS CHANGE OF POSSESSION
157,My headache went away.,CHANGE OF STATE IS CHANGE OF POSSESSION
158,One down of the three pillars of “unalienable” rights that hold up this great country of ours.,CITIZEN RIGHTS ARE PHYSICAL STRUCTURES
159,,CITIZEN RIGHTS ARE PHYSICAL STRUCTURES
160,"This is an usagainst-them battle, but the “them” are those who would dismantle our rights.",CITIZEN RIGHTS ARE PHYSICAL STRUCTURES
161,Don't let anyone take away your right to vote.,CITIZEN RIGHTS ARE POSSESSIONS
162,Do gun rights protect against tyranny?,CITIZEN RIGHTS ARE SHIELDS FROM HARM
163,We need to protect our rights from infringement.,CITIZEN RIGHTS ARE TERRITORIES
164,Nine reasons why we should fire Congress,CITIZENS ARE EMPLOYERS
165,Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State,CITIZENS ARE EYES AND EARS
166,This new slavery is a total dependence by individuals and families on government for the materials and funds necessary to maintain a minimum standard of living.,CITIZENS ARE SLAVES
167,...the people of America’s needs and priorities become second to the needs of the state and the people of America become enslaved to the state.,CITIZENS ARE SLAVES
168,My mind was racing.,COGNIZING IS BODILY FUNCTIONING
169,My mind is tired.,COGNIZING IS BODILY FUNCTIONING
170,Do I have to draw a picture for you?,COMMUNICATING IS DRAWING A PICTURE
171,He painted an idyllic picture of their life together.,COMMUNICATING IS DRAWING A PICTURE
172,I've been feeding him stock market tips for weeks.,COMMUNICATING IS FEEDING
173,This book will guide you step by step how to apply for citizenship.,COMMUNICATING IS GUIDING
174,You gave me a great idea!,COMMUNICATING IS OBJECT TRANSFER
175,Try to pack more thoughts into fewer words.,COMMUNICATING IS OBJECT TRANSFER
176,Whenever you have a good idea practice capturing it in words.,COMMUNICATING IS OBJECT TRANSFER
177,Don't force your meanings into the wrong words.,COMMUNICATING IS OBJECT TRANSFER
178,Try to get your thoughts across better.,COMMUNICATING IS OBJECT TRANSFER
179,You still have to give me an idea of what you mean.,COMMUNICATING IS OBJECT TRANSFER
180,He pointed out that global warming is real.,COMMUNICATING IS POINTING
181,Let me illustrate the theory with some examples.,COMMUNICATING IS SHOWING
182,I'm now going to show you that you are wrong.,COMMUNICATING IS SHOWING
183,We have to restructure this firm.,COMPANY IS A COMPLEX STRUCTURE
184,The arms race.,COMPETITION IS A RACE
185,"We’ve been playing chess for years, and he’s finally pulling ahead of me.",COMPETITION IS A RACE
186,"He’s a better writer than I am, and he’s widening the distance.",COMPETITION IS A RACE
187,Vanity finally drove me to have the operation.,COMPULSION IS A COMPELLING FORCE
188,Wake up!,CONSCIOUS IS UP
189,I'm up!,CONSCIOUSNESS IS VERTICALITY
190,“Your dead kids don’t trump my Constitutional rights.”,CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME
191,There is both cotton and polyester in that shirt.,CONSTITUENTS ARE CONTENTS
192,This drink is loaded with vitamins.,CONSTITUENTS ARE CONTENTS
193,Our agenda is packed with events.,CONSTITUENTS ARE CONTENTS
194,There are seven days in a week.,CONSTITUENTS ARE CONTENTS
195,This SUV sure is a gas guzzler.,CONSUMING RESOURCES IS EATING
196,Demand for paper goods is eating away at our planet's forests.,CONSUMING RESOURCES IS EATING
197,Developing nations are gobbling up our fossil fuels at any alarming rate.,CONSUMING TOO MANY RESOURCES IS EATING TOO MUCH FOOD
198,The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.,CONSUMING TOO MANY RESOURCES IS EATING TOO MUCH FOOD
199,His actions are beyond my control.,CONTROL IS A BOUNDED REGION
200,The whole situation spiraled out of (our) control.,CONTROL IS A BOUNDED REGION
201,He returned to power.,CONTROL IS A BOUNDED REGION
202,The president is in control of the executive branch.,CONTROL IS A BOUNDED REGION
203,President Mubarak has stepped down from power.,CONTROL IS A BOUNDED REGION
204,He has control over all the workers.,CONTROL IS A POSSESSION
205,The president kept his hold on power.,CONTROL IS A POSSESSION
206,She regained control of the assembly.,CONTROL IS A POSSESSION
207,He possesses the power to heal small animals.,CONTROL IS A POSSESSION
208,He's putty in her hands.,CONTROL IS OBJECT MANIPULATION
209,I am on top of the situation.,CONTROL IS UP
210,He's in a superior position.,CONTROL IS UP
211,He's in the high command.,CONTROL IS UP
212,He's in the upper echelon.,CONTROL IS UP
213,His power rose.,CONTROL IS UP
214,Report to your superiors for duty.,CONTROL IS VERTICALITY
215,He's the low man on the totem pole.,CONTROL IS VERTICALITY
216,Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.,CONTROL IS VERTICALITY
217,Relax. We've got everything under control.,CONTROL IS VERTICALITY
218,Rescuing Iranian Sailors? U.S. Says It Is Just Doing Its Duty,COOPERATIVE NATIONS ARE GOOD CITIZENS
219,California Cities Struggling Under Wave of Corruption,CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS
220,FIFA facing corruption 'tsunami',CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS
221,Our government is afflicted with the cancer of corruption.,CORRUPTION IS A DISEASE
222,Corrupt officials are infecting our government at every level.,CORRUPTION IS A DISEASE
223,"Our nation has been infested with the termites of corruption, the worms of immorality, and a virus of indifference and apathy.",CORRUPTION IS A TERMITE INFESTATION
224,Stopping the rot in public life.,CORRUPTION IS DECAY
225,Corruption is eroding the public trust in government.,CORRUPTION IS EROSION
226,Out of these discussions will grow legislation of farreaching importance.,CREATING A LAW IS GROWING A PLANT
227,The solution only created more problems.,CREATING IS MAKING
228,Crime has infected communities everywhere.,CRIME IS A DISEASE
229,Crime is a beast ravaging the city.,CRIME IS AN ANIMAL
230,He attacked the speaker with harsh words of criticism.,CRITICIZING IS ATTACKING
231,Obama and Romney Strike Blows Over Benghazi,DEBATING IS ONE-ON-ONE PHYSICAL FIGHTING
232,Credit card debt has been growing significantly,DEBT IS AN ORGANISM
233,,DEBT IS AN ORGANISM
234,Debt is holding me back from reaching my goals.,DEBT IS PHYSICAL IMPEDIMENTS TO MOTION
235,He is far more intelligent than he looks.,DEGREE IS DISTANCE ALONG A PATH
236,He is a person of very high moral standards.,DEGREE OF MORALITY IS PHYSICAL HEIGHT
237,"To us, culture and spirituality are very close concepts.",DEGREE OF SIMILARITY IS DEGREE OF PROXIMITY
238,fledgling democracy,DEMOCRACY IS A BIRD
239,democracy spreads its wings,DEMOCRACY IS A BIRD
240,plant the seeds of democracy,DEMOCRACY IS A PLANT
241,democracy blossoms,DEMOCRACY IS A PLANT
242,democracy for sale,DEMOCRATIC IDEOLOGY IS A COMMODITY
243,He's drooling over a new car.,DESIRE IS HUNGER
244,He hungered for her attention.,DESIRE IS HUNGER
245,Tips on how to cultivate openness to change.,DEVELOPING AN ATTRIBUTE IS CULTIVATION
246,"To be cool, you have to wear your overalls this way.",DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION
247,She solved the problem a different way.,DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION
248,Do it any way you can.,DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION
249,However you want to go about repairing it is fine with me.,DIFFERENT MEANS OF ACHIEVING A PURPOSE ARE DIFFERENT PATHS TO A DESTINATION
250,Our project has hit a roadblock.,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT
251,What's holding you back from pursuing your dreams?,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT
252,They faced some tough problems at the beginning of their marriage but got over them quickly.,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT
253,We have a lot of hurdles to get over in our relationship.,DIFFICULTIES IN A ROMANTIC RELATIONSHIP ARE IMPEDIMENTS TO MOTION ALONG A PATH
254,Recently enacted policies provide cover for companies engaged in illicit activities.,DIFFICULTIES IN KNOWING ARE VISUAL OBSTRUCTIONS
255,My life is going nowhere - I'm just spinning my wheels.,DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH
256,This is a very hard problem to solve.,DIFFICULTY IS HARDNESS
257,I have a heavy workload this year.,DIFFICULTY IS HEAVINESS
258,This situation is hard to bear.,DIFFICULTY IS HEAVINESS
259,"The Weapons of Diplomacy, and the Human Factor",DIPLOMACY IS WAR
260,Americans are divided as to whether a third major party is needed in U.S. politics today,DISAGREEMENT IS DIVISION
261,The doctors at the CDC led the way to victory against the flu epidemic.,DISEASE TREATMENT IS WAR
262,"The cancer patient fought a long, hard, battle, but she eventually succumbed to her disease.",DISEASE TREATMENT IS WAR
263,A Triumph in the War Against Cancer,DISEASE TREATMENT IS WAR
264,"With nothing left in their leukemia-fighting arsenal, the doctors were down to Dilaudid, a derivative of morphine...",DISEASE TREATMENT IS WAR
265,What separates the men from the boys?,DISTINGUISHING IS DIVIDING
266,The very thought of it makes me sick.,DISTURBING IDEAS ARE DISGUSTING FOODS
267,That's bullshit!,DISTURBING IDEAS ARE DISGUSTING FOODS
268,It is smooth sailing from here on in in the application process.,EASE OF ACTION IS EASE OF MOTION ALONG A PATH
269,It's all downhill for the rest of the course.,EASE OF ACTION IS EASE OF MOTION ALONG A PATH
270,force-feed the economy back to health,ECONOMY IS A BODY
271,The economy is falling apart.,ECONOMY IS A COMPLEX STRUCTURE
272,"With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?",ECONOMY IS A MACHINE
273,"""Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,""",ECONOMY IS A MACHINE
274,A good education is a powerful resource.,EDUCATION IS A RESOURCE
275,"Apparently, I’m not the only parent who’s concerned about high stakes testing.",EDUCATIONAL EVALUATION IS GAMBLING
276,"Like some it is supposed to serve, Massachusetts government has become flabby.",EFFECTIVE GOVERNMENT INSTITUTION IS A HEALTHY BODY
277,"Our state government, a well oiled machine of efficiency.",EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE
278,Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government,EFFICIENT GOVERNMENT IS A LEAN BODY
279,the candidates came out punching,ELECTION IS A BOXING MATCH
280,"Beasley won the first round of Democratic primary for lieutenant governor in 1970, but failed to win a majority.",ELECTION IS A BOXING MATCH
281,"Too often it is post mortem head scratching, as if democratic strategists do not realize every candidate is a pawn on the national. chessboard",ELECTION IS A GAME
282,The GOP presidential race has a new front-runner: Gov. Rick Perry.,ELECTION IS A RACE
283,"This year's US presidential election is shaping up to be a very close race, with the incumbent currently in front, but his challenger close on his heels.",ELECTION IS A RACE
284,"At the turn, it's Obama by a nose.",ELECTION IS A RACE
285,"Noem sprints to election finish line with stop in Elk Point, SD.",ELECTION IS A RACE
286,"The race continues as Perry and Romney jockey for position, with Gingrich trailing behind.",ELECTION IS A RACE
287,"With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys.",ELECTION IS A RACE
288,The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...,ELECTION IS A RACE
289,Hutchinson the front-runner in 2014 governor's race,ELECTION IS A RACE
290,...the fight for the White House is being waged on intensely local terrain...,ELECTION IS WAR
291,the war for the presidency is nearly over,ELECTION IS WAR
292,"Mr. Romney will likely fight hard in the state, given his family ties, but he has an uphill battle.",ELECTION IS WAR
293,"Both sides girded for battle, as they knew the general election would be a hard-won fight.",ELECTION IS WAR
294,The underdog and his advisers plotted how best to overpower the incumbent.,ELECTION IS WAR
295,"Campaign Craft: The Strategies, Tactics, and Art of Political Campaign Management",ELECTION IS WAR
296,He's bursting with excitement.,EMOTION IS PRESSURE IN A CONTAINER
297,That joke is side-splittingly funny.,EMOTION IS PRESSURE IN A CONTAINER
298,"As the argument continued, things really heated up.",EMOTIONAL INTENSITY IS TEMPERATURE
299,Their relationship cooled off and they soon parted ways.,EMOTIONAL INTENSITY IS TEMPERATURE
300,His mother was always cold and unloving when he was a child.,EMOTIONAL INTENSITY IS TEMPERATURE
301,They're very close.,EMOTIONAL INTIMACY IS PHYSICAL PROXIMITY
302,She's so cold towards him.,EMOTIONALLY INDIFFERENT IS COLD
303,Ice-queen,EMOTIONALLY INDIFFERENT IS COLD
304,He is a man of fiery passions.,EMOTIONALLY INTENSE IS HOT
305,The argument really heated up when she accused him of losing the car on purpose.,EMOTIONALLY INTENSE IS HOT
306,She's lukewarm about him.,EMOTIONALLY MILD IS EXPERIENCING MILD TEMPERATURE
307,You have to set your jealousy aside.,EMOTIONS ARE OBJECTS
308,He hid his love from her.,EMOTIONS ARE OBJECTS
309,He's filled with jealousy.,EMOTIONS ARE SUBSTANCES
310,She's overflowing with love.,EMOTIONS ARE SUBSTANCES
311,"Democrats Push Through Historic, Controversial Health Care Legislation",ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH
312,The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.,ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH
313,We are reaching the end of the house-buying process.,END OF AN ACTION IS THE END OF A PATH
314,"Finally, all my educational goals are in reach.",END OF AN ACTION IS THE END OF A PATH
315,We are entering the last stages of filing for bankruptcy.,END OF AN ACTION IS THE END OF A PATH
316,The welfare queens will suck this nation's coffers dry.,ENTITLEMENT HOLDERS ARE LEECHES
317,"The ""takers"" in this society are leeches on the success of job creators.",ENTITLEMENT HOLDERS ARE LEECHES
318,The oil spill has caused a shock to the environment.,ENVIRONMENTAL HARM IS PHYSICAL INJURY
319,Smog pollution is an environmental malaise.,ENVIRONMENTAL HARM IS PHYSICAL INJURY
320,Ecologists are nursing the Bay back to health.,ENVIRONMENTAL HARM IS PHYSICAL INJURY
321,"In economic development, the equivalent of having a level playing field is equality of access to basic services.",EQUALITY IS BEING ON THE SAME VERTICAL LEVEL
322,It's what's on the inside that counts.,ESSENTIAL IS INTERNAL
323,She only has surface charm.,ESSENTIAL IS INTERNAL
324,The Bible clearly teaches that our struggle to live righteously is a struggle against the dark forces of Satan that seeks to rule us.,EVIL IS DARK
325,The dodo disappeared in the 1600s.,EXISTENCE IS VISIBILITY
