Frase,Classificazione GPT4o,Deep Seek R1,DEEP SEEK R1 (controllo),QWEN 2.5 Max
In the process they burn their fingers and even fall deeper down the abyss of poverty.,BECOMING IMPOVERISHED IS MOVING DOWNWARDS,POVERTY IS ABYSS,BEING IMPOVERISHED IS MOVING DOWNWARDS,BECOMING IMPOVERISHED IS MOVING DOWNWARDS
"In the past month or two, I've noticed a new addiction arise, one that's more powerful and widespread than ever, election addiction.",ELECTION IS AN ADDICTIVE DRUG,ELECTION IS ADDICTION,ELECTION IS WAR,COMPULSION IS A COMPELLING FORCE
It feeds off the election addiction of other people.,ONGOING CAUSATION IS NOURISHING,ELECTION IS ADDICTION,ELECTION IS WAR,COMPULSION IS A COMPELLING FORCE
Because the â€˜fed' is funding the spending addiction of the government.,GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,GOVERNMENT IS ADDICTION,GOVERNMENT ASSISTANCE IS AN ADDICTIVE DRUG,COMPULSION IS A COMPELLING FORCE
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",OTHER,GUN IS ADDICTION,GUNS ARE DRUGS,COMPULSION IS A COMPELLING FORCE
In plain English the Senator means that taxpayers need to part with more of their limited income to feed the ever growing spending addiction of the legislature.,TAXATION IS AN ADDICTIVE DRUG,LEGISLATURE IS ADDICTION,TAXATION IS THEFT,COMPULSION IS A COMPELLING FORCE
"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",POVERTY IS AN ADDICTIVE DRUG,POVERTY IS ADDICTION,POVERTY IS A DISEASE,COMPULSION IS A COMPELLING FORCE
"For this situation, I think the most important thing to the people of New York, is that the legislature get off the addiction of taxes, said Paterson.",TAXATION IS AN ADDICTIVE DRUG,TAXES IS ADDICTION,TAXATION IS SLAVERY,COMPULSION IS A COMPELLING FORCE
"The addiction of wealth is just as serious as cocaine or gluttony, just more civilized",EXCESS WEALTH IS ADDICTION,WEALTH IS ADDICTION,EXCESS WEALTH IS DISGUSTING,COMPULSION IS A COMPELLING FORCE
"The most important of these structural changes was that of bringing in the so-called representative or parliamentary system, which Puritanism introduced into the modern world, and which has received a great deal of praise as an advance towards democracy.",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS ADVANCE,DEMOCRACY IS A TOWN MEETING,ADVANCING DEMOCRACY IS MOVING FORWARD
Capitalism was also a major factor in the general advancement of bureaucracy.,BUREAUCRACY IS A MACHINE,BUREAUCRACY IS ADVANCEMENT,BUREAUCRACY IS A MACHINE,BUREAUCRACY IS A MACHINE
"Emphasizing equality, trust and understanding, the Commonwealth facilitates the advancement of democracy, human rights and sustainable economic and social development within its member countries and beyond.",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS ADVANCEMENT,DEMOCRACY IS AN EQUAL PARTNERSHIP,ADVANCING DEMOCRACY IS MOVING FORWARD
People on both sides of gun control say some of these reasons why gun violence is an issue today are global news and technological advancement of guns.,GUN VIOLENCE IS A PHYSICAL AFFLICTION,GUNS IS ADVANCEMENT,TECHNOLOGICAL ADVANCEMENT OF GUNS,GUNS ARE A NATURAL DISASTER
"And as democracy advances in the region, a international group of leading Muslim scholars is leading an effort to define an Islamic basis for citizenship and the rights of minorities.",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS ADVANCES,DEMOCRACY IS A PLANT,ADVANCING DEMOCRACY IS MOVING FORWARD
"November 12, 2008: Ecuador government advances Zamora Hydroelectric Complex",GOVERNMENT ACTION IS MOTION,GOVERNMENT IS ADVANCES,PROGRESS IS FORWARD MOTION ALONG A PATH,ADVANCEMENT IS PROGRESS
The power to create wealth advances the kingdom of God in a very significant way.,WEALTH IS A RESOURCE,WEALTH IS ADVANCES,WEALTH IS A RESOURCE ,WEALTH IS A RESOURCE
Poverty Alleviation,ADDRESSING POVERTY IS TREATING AN ILLNESS,POVERTY IS ALLEVIATION,POVERTY ALLEVIATION,ADDRESSING POVERTY IS TREATING AN ILLNESS
"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",POVERTY IS A DISEASE,POVERTY IS ALLEVIATION,POVERTY ALLEVIATION,ADDRESSING POVERTY IS TREATING AN ILLNESS
"The president said the target has been set to ensure that the issues of poverty alleviation, food security, diversification of the economy, job creation, amongst others are dealt with while government would also strive to double economic growth after every seven years.",ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,POVERTY IS ALLEVIATION,POVERTY ALLEVIATION,ADDRESSING POVERTY IS TREATING AN ILLNESS
"They contend that from wealth accumulation the gear must change to wealth alleviation, because the ways the rich become wealthy often correlate with the ways the number of the poor increase.",WEALTH REDISTRIBUTION IS RESOURCE TRANSFER,WEALTH IS ALLEVIATION,WEALTH ALLEVIATION,WEALTH REDISTRIBUTION IS RESOURCE TRANSFER
Let them know that what we want isn't annihilation of guns.,GUN CONTROL IS PHYSICAL RESTRAINT,GUNS IS ANNIHILATION,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN CONTROL IS PHYSICAL RESTRAINT
"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",GOVERNMENT CONTROL IS VERTICALITY,GOVERNMENT IS APEX,GOVERNMENT IS A PHYSICAL STRUCTURE,GOVERNMENT IS A BUSINESS
"Garland, TX: Do you think that Liberal Democracy is the apex of the world's governments?",ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,DEMOCRACY IS APEX,DEMOCRACY IS THE NATURAL ORDER,DEMOCRACY IS A PLANT
Hastily-passed omnibus appropriations bills are perhaps the apex of expeditious lawmaking.,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,LAWMAKING IS APEX,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH
That's a common problem in this age of voracious tax appetites and people who work/earn money in different states.,TAXATION IS A BURDEN,TAX IS APPETITES,TAXATION IS A BURDEN,TAXATION IS A BURDEN
It is her body as the canvas her appearance as art,BODY IS A CONTAINER FOR EMOTIONS,BODY IS CANVAS,BODY IS A CONTAINER FOR EMOTIONS,BODY IS A CONTAINER FOR EMOTIONS
"Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.",DEMOCRACY IS A FACADE,DEMOCRACY IS ASSAULT,DEMOCRACY IS A FACADE,DEMOCRACY IS A FACADE
"Anytime there is a ""massacre"" as defined by the FBI of a killing of 4 or more people the press does a full out assault of guns and gun owners.",ARGUMENT IS WAR,GUNS IS ASSAULT,ADVOCACY IS PHYSICAL COMBAT,GUN CONTROL IS PHYSICAL RESTRAINT
"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",EXPERIENCING AN ECONOMIC STATUS IS BEING AT A LOCATION,HUNGER IS ASSAULT,HUNGER IS A PHYSICAL IMPEDIMENT,POVERTY IS A DISEASE
They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,PREVENTING ECONOMIC HARDSHIP IS SHIELDING FROM PHYSICAL HARM,POVERTY IS ASSAULT,POVERTY IS A PHYSICAL AFFLICTION,PREVENTING ECONOMIC HARDSHIP IS SHIELDING FROM PHYSICAL HARM
"The assault of wealth and power upon the government of this people is a Babel-builder's dream of unrestrained, money-maddened voices drowning out all reason.",CORRUPTION IS A DESTRUCTIVE NATURAL PROCESS,WEALTH IS ASSAULT,WEALTH IS A DESTRUCTIVE FORCE,POWER IS CENTRALITY
"When we believe He redeemed us from the curse of poverty and wrap all of our words and actions around that belief, then we strengthen the faith barrier against the attack of poverty.",POVERTY IS A FIERCE CREATURE,POVERTY IS ATTACK,POVERTY IS A CURSE,PREVENTING ECONOMIC HARDSHIP IS SHIELDING FROM PHYSICAL HARM
"Where the corporation tax is a direct frontal attack on the institution of private property, the ESOP offers a powerful means for counterattacking in a manner that will simultaneously serve other desirable social goals: it can help overcome shortages in private sector capital formation; it fosters more equity financing; it can help foster more private sector jobs in the fabricating and operations of newly added plant and equipment; it can help expand the federal revenue base from expanded private payrolls and dividend rolls; and it can help create a broader base of shareholder constituents to help corporations surmount unreasonable and unwarranted political attacks.",ADVOCACY IS PHYSICAL COMBAT,TAX IS ATTACK,TAXATION IS A FORCE,TAXATION IS A BURDEN
WDR 2000/2001: Attacking Poverty,ADDRESSING POVERTY IS TREATING AN ILLNESS,POVERTY IS ATTACKING,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR
World Development Report 2000/2001: Attacking Poverty.,ADDRESSING POVERTY IS WAGING WAR,POVERTY IS ATTACKING,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR
"He believes strongly in equity, compassion and empowerment, and that the backbone of democracy is people working together",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS BACKBONE,DEMOCRACY IS A COMPLEX STRUCTURE,DEMOCRACY IS A PLANT
"Men, women and children are dying for the lack of a government backbone.",GOVERNMENT INSTITUTION IS A BODY,GOVERNMENT IS BACKBONE,GOVERNMENT IS A BODY,GOVERNMENT IS A BUSINESS
"In fact, the battle of the ballot could well stretch from Tuesday's Florida primary until weeks after the November election.",ELECTION IS WAR,BALLOT IS BATTLE,ELECTION IS WAR,ELECTION IS A RACE
"The first step in the revolution by the working class is to raise the proletariat to the position of ruling class, to win the battle of Democracy.",REVOLUTION IS TOPPLING A PHYSICAL OBJECT,DEMOCRACY IS BATTLE,ELECTION IS WAR,REVOLUTION IS TOPPLING A PHYSICAL OBJECT
"If we want to get rid of the failures of Stalinism associated with the left, we need to be at the forefront of the struggle for democracy and realize that ""that the first step in the revolution by the working class is to raise the proletariat to the position of ruling class to win the battle of democracy",ACHIEVING POWER IS MOVING UPWARDS,DEMOCRACY IS BATTLE,ELECTION IS WAR,REVOLUTION IS TOPPLING A PHYSICAL OBJECT
"The battle for democracy demands a high price of its champions, but their number continues to proliferate.",DEMOCRACY IS WAR,DEMOCRACY IS WAR,ELECTION IS WAR,DEMOCRACY IS A PLANT
"President Obama would not need to expend all of his energy fighting the election battle for the next two years, especially when we need to focus on the matters at hand â€“ in terms of the economy, job growth, our deficit, climate change, etc.",ELECTION IS WAR,ELECTION IS WAR,ELECTION IS WAR,ELECTION IS A RACE
"But he is in a dogfight in a potential general election battle against Democrat Alison Lundergran Grimes, the Bluegrass state's secretary of state.",ELECTION IS WAR,ELECTION IS WAR,ELECTION IS WAR,ELECTION IS A RACE
"A trio of civil rights groups and a labor union on Monday filed briefs in a Washington federal appeals court, joining a government battle to regulate UPMC as a federal contractor subject to affirmative action compliance audits.",GOVERNMENT REGULATION IS A BURDEN,ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,GOVERNMENT IS A MACHINE,GOVERNMENT REGULATION IS A BARRIER
The news came after the Bank of England cut interest rates to a record low of 1.5 percent on Thursday as it and the government battle to prevent Britain falling further into a recession that has cost thousands of jobs.,ADDRESSING ECONOMIC PROBLEMS IS TREATING AN ILLNESS,ADDRESSING ECONOMIC PROBLEMS IS WAGING WAR,GOVERNMENT IS A MACHINE,ECONOMIC HARDSHIP IS PHYSICAL HARM
"The Department of Child & Family Studies, in partnership with Florida KIDS COUNT which disseminates national, statewide and county-level data on key indicators for Florida's children, reached out to Children's Services Councils and various state partners to find out what is being done in their communities to support the growing number of children and families caught in the poverty battle.",ADDRESSING POVERTY IS WAGING WAR,POVERTY IS WAR,POVERTY IS A PHYSICAL AFFLICTION,ADDRESSING POVERTY IS WAGING WAR
The owner of the popular Brighton Beach-based Tatiana's Restaurant (3152 Brighton 6th Street) lost a tax battle due to a ruling that will cost her hundreds of thousands of dollars.,TAXATION IS CAUSING HARM,TAXATION IS WAR,TAXATION IS A BURDEN,TAXATION IS A BURDEN
The authors challenge the U.S. government to lead the tax competition battle in the international marketplace.,ELECTION IS WAR,TAXATION IS WAR,TAXATION IS A FORCE ,TAXATION IS A BURDEN
We are prepared to make this the biggest taxpayer battle since Proposition 13.,TAXATION IS WAR,TAXATION IS WAR,TAXATION IS A BURDEN,TAXATION IS A BURDEN
The 113th Congress is a beacon of hope for women like me who have been waiting for stronger representation in government for years now.,AID TO KNOWING IS A LIGHT SOURCE,CONGRESS IS BEACON,GOVERNMENT IS A BEACON,GOVERNMENT IS A BEACON OF HOPE
"Yesterday, I sat through the Senate Foreign Relations Committee and listened to Secretary of State John Kerry prattle on about how the US government is a beacon of hope and leadership.",AID TO KNOWING IS A LIGHT SOURCE,GOVERNMENT IS BEACON,GOVERNMENT IS A BEACON,GOVERNMENT IS A BEACON OF HOPE
"Democracy Besieges Iraq The pro-occupation Washington Times began their coverage of today's illigitmate 'election-under-occupation' in Iraq with these words,",DEMOCRACY IS WAR,DEMOCRACY IS BESIEGES,DEMOCRACY IS A FACADE,DEMOCRACY IS A BESIEGED ENTITY
"Optimists hailed a region-wide birth of democracy, as though the Middle East and North Africa were following the path blazed in Eastern Europe during the anti-communist revolutions of 1989.",NATION IS A VEHICLE,DEMOCRACY IS BIRTH,DEMOCRACY IS A PLANT,DEMOCRACY IS A BIRTH PROCESS
The wave-like pattern of the Intifada its pains and sufferings are all reminiscent of the process of birth,INTIFADA IS BIRTH,INTIFADA IS BIRTH,SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS,SOCIAL PROBLEMS ARE ANIMATE ENTITIES
She was no innocent suddenly caught up in a national scandal; she is precisely one of those petty bureacrats who expertly wields the bludgeon of government to serve her interests.,BUREAUCRATS ARE MACHINE PARTS,GOVERNMENT IS BLUDGEON,BUREAUCRACY IS A MACHINE,BUREAUCRATS ARE MACHINE PARTS
the mind is a body.,MIND IS A BODY,MIND IS BODY,MIND IS A BODY,MIND IS A BODY
Deliver him from the bondage of being a beggar.,BEING IMPOVERISHED IS BEING IN A BOUNDED REGION,BEGGAR IS BONDAGE,FREEDOM IS A VALUABLE POSSESSION,POVERTY IS A BONDAGE
Freeing our society from the bondage of government requires a love of freedom greater than the love of selfish desire.,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS BONDAGE,GOVERNMENT IS A SLAVE MASTER,FREEDOM FROM GOVERNMENT IS LIBERATION
Democracy is a bonfire; the American people kindle the flame.,DEMOCRACY IS A BIRD,DEMOCRACY IS BONFIRE,DEMOCRACY IS A BONFIRE,DEMOCRACY IS A BONFIRE
the vegetation was supposed to be a jocular portrait by Gauguin of Madeleine the pears her breasts the dense flowers her hair,OTHER,FLOWERS IS HAIR,BODY IS A CONTAINER FOR EMOTIONS,IDEAS ARE OBJECTS
"For those owners that already are educated in the regulations (AKA pilots/owners) and understand what it takes to maintain and fly a safe aircraft, this new regulation would be a breeze.",REGULATION IS A BURDEN,REGULATION IS BREEZE,REGULATION IS A BREEZE,REGULATIONS ARE BURDENS
the mind is a builder.,MIND IS A BUILDING,MIND IS BUILDER,MIND IS A BUILDER,MIND IS A BUILDER
"The purpose of this article is to demonstrate, in some selected examples, how effective tax planning can accelerate the building of wealth for retirement and how ineffective tax planning can hold back even an astute investor.",TAXATION IS INVESTMENT,WEALTH IS BUILDING,WEALTH IS A RESOURCE,WEALTH IS A BUILDING PROCESS
"May 29, 2007 In theory, democracy is a bulwark against socially harmful policies.",DEMOCRACY IS A SHIELD FROM HARM,DEMOCRACY IS BULWARK,DEMOCRACY IS A BULWARK ,DEMOCRACY IS A BULWARK
The Senate is a bulwark against an avalanche of really extreme legislation.,GOVERNMENT REGULATION IS A BARRIER,SENATE IS BULWARK,GOVERNMENT INSTITUTION IS A BUILDING,SENATE IS A BULWARK
"In this view, democracy is a burden and a hindrance, and enlightened authoritarianism can better serve the people",DEMOCRACY IS A BURDEN,DEMOCRACY IS BURDEN,DEMOCRACY IS A BURDEN,DEMOCRACY IS A BURDEN
"Login Reply #19: Guns are a burden, an obstacle to life, liberty and pursuit of happiness [View All]",GUNS ARE A MOTION IMPEDIMENT,GUNS IS BURDEN,GUNS ARE A BURDEN,GUNS ARE BURDENS
"Increased food costs mean a lower or middle class family has less money to spend on other necessities, like childcare or transportation, increasing the tax's burden on already stressed families.",TAXATION IS A BURDEN,TAX IS BURDEN,TAXATION IS A BURDEN ,TAXATION IS A BURDEN
"Great wealth is a great burden, and to have more than you can use, is to care for more than you want.",EXCESS WEALTH IS OBSCENE,WEALTH IS BURDEN,WEALTH IS A BURDEN,WEALTH IS A BURDEN
"The GOP, however, does have pretty good record, if you will with buying elections, with massive negative ad spending, and have good grass roots fundraising even when the RNC is lacking focus on them.",ELECTION IS WAR,ELECTIONS IS BUYING,ELECTION IS A GAME,ELECTIONS ARE COMPETITIVE SPORTS EVENTS
Its conically-roofed tower hugged about by a brood of smaller roofs shaped like candle snuffers is visible for miles,EXISTENCE IS VISIBILITY,OTHER ,INSTITUTION IS A BUILDING,BUILDINGS ARE COMPLEX STRUCTURES
It is her body as the canvas her appearance as art,OTHER,BODY IS CANVAS,BODY IS A CONTAINER FOR EMOTIONS,BODY IS A CANVAS
the past is a captor.,OTHER,PAST IS CAPTOR,PAST IS BEHIND,PAST IS A CAPTOR
"The teachers union not only plays the poverty card, but by battling reforms, ensures that the impoverished will remain that way ""No Education Reform Without Tackling Poverty, Experts Say,"" is the title of an article on the National Education Association website.",ADDRESSING POVERTY IS TREATING AN ILLNESS,POVERTY IS CARD,POVERTY IS A DISEASE,POVERTY IS A CARD
"The Blogmanac is dedicated to the 353 victims of Australia's shame, the SIEVX disaster, and casualties of poverty and authority worldwide.",ADDRESSING POVERTY IS TREATING AN ILLNESS,POVERTY IS CASUALTIES,POVERTY IS A PHYSICAL AFFLICTION ,POVERTY IS A DISASTER
"More productive pursuits become the casualties of taxation, which then reinforces the bias in favour of land speculation.",TAXATION IS CAUSING HARM,TAXATION IS CASUALTIES,TAXATION IS A FORCE ,TAXATION IS A CASUALTY
If change does not come we might be seeing the final chapter of American democracy.,EVENTS ARE OBJECTS,DEMOCRACY IS CHAPTER,DEMOCRACY IS A COMPLEX STRUCTURE,DEMOCRACY IS A CHAPTER
Facebook0 Twitter0 livefyre Email Print Americans Get a Peek into Constitutional Chasm; Santorum: Still Ferocious Supremes Dive Into Constitutional Chasm on Obama Health Law ADVERTISEMENT ADVERTISEMENT,DISAGREEMENT IS DIVISION,CONSTITUTIONAL IS CHASM,GOVERNMENT IS A PHYSICAL STRUCTURE,CONSTITUTION IS A CHASM
These measures would help close the wealth chasm.,INSURMOUNTABLE DIFFERENCES IN WEALTH IS BARRIER TO ACCESSING A LOCATION,WEALTH IS CHASM,WEALTH IS LINEAR SPATIAL SCALE,WEALTH IS A CHASM
"I will be out in the city today, feeling the vinous veinous thrust of blood, the apple-red circulation of democracy, its carnal knowledge without wisdom.",NATION IS A BODY,DEMOCRACY IS CIRCULATION,DEMOCRACY IS A BODY,DEMOCRACY IS A CIRCULATION
Shutting off the supply of guns to criminals means thwarting the informal circulation of guns among the friends and associates of these men and stemming the supply obtained through theft.,AMOUNT OF GUNS IS A FLUID,GUNS IS CIRCULATION,GUNS ARE A FLUID,GUNS ARE A CIRCULATION
"The collapse of the Mobutu dictatorship led to a collision between two forms of opposition to Mobutu, the internal opposition exemplified by Tshisekedi, committed to non-violent direct action, and the armed opposition, based abroad, exemplified by Kabila.",ARGUMENT IS PHYSICAL COMBAT,DICTATORSHIP IS COLLAPSE,GOVERNMENT IS AN ORGANISM,GOVERNMENT COLLAPSE IS A COLLISION
"Over the past quarter century, the world has witnessed the fall of communism in Eastern Europe, the end of apartheid in South Africa, and the collapse of military dictatorships in Latin America.",CHANGE OF STATE IS CHANGE OF LOCATION,DICTATORSHIPS IS COLLAPSE,GOVERNMENT IS A PHYSICAL STRUCTURE ,GOVERNMENT COLLAPSE IS A FALL
"14 Fearing the collapse of the Salvadoran government, the United States dramatically increased foreign aid and bolstered the Salvadoran military by providing advisers and supplying helicopters and attack aircraft.15",GOVERNMENT INSTITUTION IS A BUILDING,GOVERNMENT IS COLLAPSE,GOVERNMENT IS A BODY,GOVERNMENT COLLAPSE IS A FEAR
Its role: to participate in actions where NATO itself is not willing to take part; meaning where the US does not have a clear strategic interest (one good example of that was the collapse of government authority in Albania in 1997).,GOVERNMENT AND CITIZENS ARE PARTNERS,GOVERNMENT IS COLLAPSE,GOVERNMENT IS A MACHINE,GOVERNMENT COLLAPSE IS A ROLE
"Seriously, don't go by anything that guy said, and don't think for a second that this idiot represents everyone in the firearms community.",CRITICIZING IS ATTACKING,FIREARMS IS COMMUNITY,GUNS ARE OBJECTS OF WORSHIP,GUN DEBATE IS A COMMUNITY
"Pressures to attract mobile capital through international ""tax competition"" will continue to increase.",COMPETITION IS A RACE,TAX IS COMPETITION,TAXATION IS A FORCE,TAX COMPETITION IS A PRESSURE
"The Organization for Economic Cooperation and Development recently concluded that the developed world should eliminate ""harmful tax competition"" between states.",TAXATION IS A BURDEN,TAX IS COMPETITION,TAXATION IS A FORCE,TAX COMPETITION IS HARMFUL
"A general equilibrium model is constructed to study tax competition, where local governments compete for capital by holding down property tax rates and public expenditure levels.",COMPETITION IS A RACE,TAX IS COMPETITION,GOVERNMENT IS A BUSINESS,TAX COMPETITION IS A MODEL
"As mentioned earlier, we can see selling of illegal drugs as an answer to the conflict of poverty for young black men.",POVERTY IS A CRIME,POVERTY IS CONFLICT,POVERTY IS A CRIME,ILLEGAL DRUGS ARE A CONFLICT RESOLUTION
"I'll give you a hint, it was involving a taxation conflict.",TAXATION IS A BURDEN,TAXATION IS CONFLICT,TAXATION IS THEFT,TAXATION IS A CONFLICT
"These different versions of democracy pose distinct conflicts among ethical values linked to science and technology, as well as suggest different solutions to those problems.",DEMOCRACY IS AN EQUAL PARTNERSHIP,DEMOCRACY IS CONFLICTS,DEMOCRACY IS A FACADE,DEMOCRACY IS A CONFLICT
"As we celebrate Texas Independence Day, I need to inform you of the status of the latest in a House election contest that has dealt with one of the most fundamental rights we have to preserve the freedom that Texans and Tejanos fought and died for 175 years ago- the right to vote.",ELECTION IS WAR,ELECTION IS CONTEST,RIGHTS ARE SHIELDS FROM HARM,ELECTION IS A CONTEST
The Clinton administration claims democracy is a cornerstone of U.S. policy.,DEMOCRACY IS A PHYSICAL STRUCTURE,DEMOCRACY IS CORNERSTONE,DEMOCRACY IS A BUILDING,DEMOCRACY IS A CORNERSTONE
"Who spends more time defending the role of money in politics, free-market-loving libertarians or do-gooder leftists who think that money corrupts?",DIFFERING IDEOLOGIES ARE ADVERSARIES,MONEY IS CORRUPTS,CORRUPTION IS A DISEASE,MONEY IN POLITICS IS A DEFENSE
"It is in this way, no less than by its direct interference, that aggregated wealth corrupts government, and helps to make politics a trade.",CORRUPTION IS A DISEASE,WEALTH IS CORRUPTS,CORRUPTION IS A DISEASE,WEALTH CORRUPTS GOVERNMENT
"Even a gun, is a crime if it does not belong to you.",RIGHTS ARE POSSESSIONS,GUN IS CRIME,GUNS ARE A DISEASE,GUNS ARE CRIMES
Poverty is a crime for which both Labor and Liberal parties in government are responsible.,POVERTY IS A CRIME,POVERTY IS CRIME,POVERTY IS A CRIME,POVERTY IS A CRIME
"To him, wealth is a crime.",POVERTY IS A CRIME,WEALTH IS CRIME,EXCESS WEALTH IS DISGUSTING,WEALTH IS A CRIME
Not a gun crisis...lol.,NEGATIVE EVALUATION OF GOVERNMENT ACTIVITY IS DISGUST,GUN IS CRISIS,GUN VIOLENCE IS A PHYSICAL AFFLICTION,GUN CRISIS IS DENIED
Trying to discuss the issue with the gun cult is pointless.,COGNITIVE AVERSION IS PHYSICAL DISGUST,GUN IS CULT,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN DEBATE IS POINTLESS
The gun cult have made rationalization an art form.,IDEA SYSTEMS ARE COMPLEX PHYSICAL SYSTEMS,GUN IS CULT,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN DEBATE IS RATIONALIZATION
I first bumped-into the internet gun cult in 1994 on USENET in talk.politics.guns.,GUN DEBATE IS A LIVING ENTITY,GUN IS CULT,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN DEBATE IS AN INTERNET PHENOMENON
The gun cult and their stooges won't allow it to be released.,GUNS ARE OBJECTS OF WORSHIP,GUN IS CULT,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN DEBATE IS SUPPRESSION
"Such is the downright satanic power of the gun cult in this country, however, that Martinez may as well never have spoken.",GUNS ARE OBJECTS OF WORSHIP,GUN IS CULT,GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,GUN DEBATE IS SATANIC POWER
"Direct democracy is a very natural way of democracy cultivation, comprehensible and acceptable even for members of primitive societies, and direct participation in the making of public policy overcomes political alienation and apathy.",DEMOCRACY IS A PLANT,DEMOCRACY IS CULTIVATION,DEMOCRACY IS A PLANT,DEMOCRACY IS CULTIVATION
